"","State","Date","WindGustSpeed","Temp","Rainfall"
"61","New South Wales","2009-02-01",83,36.35,2
"62","New South Wales","2009-02-02",63,34.6,2.4
"63","New South Wales","2009-02-05",63,36.55,2
"64","New South Wales","2009-02-06",67,37.4,17.6
"65","New South Wales","2009-02-07",67,36.75,3.8
"66","New South Wales","2009-02-08",59,37.075,6
"67","New South Wales","2009-02-09",57,31.675,0.6
"68","New South Wales","2009-02-10",59,32.825,20.6
"69","New South Wales","2009-02-11",81,26.675,15
"70","New South Wales","2009-02-12",57,26.15,13.8
"71","New South Wales","2009-02-13",69,23.6,31.2
"72","New South Wales","2009-02-14",65,22.1,41.8
"73","New South Wales","2009-02-15",61,23.25,134.8
"74","New South Wales","2009-02-16",67,25.025,63.6
"75","New South Wales","2009-02-17",67,25.55,189
"76","New South Wales","2009-02-18",74,25.7,58.6
"77","New South Wales","2009-02-19",59,26.325,1.6
"78","New South Wales","2009-02-20",48,28.35,5.8
"79","New South Wales","2009-02-21",48,26.425,16.6
"80","New South Wales","2009-02-22",54,26.85,24.6
"81","New South Wales","2009-02-23",70,29.225,0.2
"82","New South Wales","2009-02-24",56,28.55,8.2
"83","New South Wales","2009-02-25",46,26.85,0.8
"84","New South Wales","2009-02-26",52,27.025,2.4
"85","New South Wales","2009-02-27",65,27.05,107.4
"86","New South Wales","2009-02-28",59,30.175,0.8
"87","New South Wales","2009-03-01",50,28.375,0
"88","New South Wales","2009-03-02",52,27.4,0.2
"89","New South Wales","2009-03-03",65,31.1,36.6
"90","New South Wales","2009-03-04",61,29.25,0.6
"91","New South Wales","2009-03-05",57,23.525,17.2
"92","New South Wales","2009-03-06",46,24.125,17.6
"93","New South Wales","2009-03-07",52,23.95,1.4
"94","New South Wales","2009-03-08",50,26.025,0
"95","New South Wales","2009-03-09",50,27.075,17.4
"96","New South Wales","2009-03-10",61,26.35,24.4
"97","New South Wales","2009-03-11",57,25.725,6.8
"98","New South Wales","2009-03-12",48,27.225,16.8
"99","New South Wales","2009-03-13",39,25.65,9.2
"100","New South Wales","2009-03-14",70,25.05,3.4
"101","New South Wales","2009-03-15",50,27.4,25.6
"102","New South Wales","2009-03-16",50,23.8,7.6
"103","New South Wales","2009-03-17",43,24.125,1.4
"104","New South Wales","2009-03-18",52,23.425,0
"105","New South Wales","2009-03-19",43,25.825,1.8
"106","New South Wales","2009-03-20",41,27,0.8
"107","New South Wales","2009-03-21",52,27.175,4.8
"108","New South Wales","2009-03-22",57,27.475,0.4
"109","New South Wales","2009-03-23",57,29.175,2.4
"110","New South Wales","2009-03-24",54,29.225,1
"111","New South Wales","2009-03-25",80,30.325,2.4
"112","New South Wales","2009-03-26",76,29.95,40
"113","New South Wales","2009-03-27",61,26.35,17.8
"114","New South Wales","2009-03-28",56,24.325,12
"115","New South Wales","2009-03-29",65,24.75,3
"116","New South Wales","2009-03-30",70,24.525,11.4
"117","New South Wales","2009-03-31",83,23.45,62.6
"118","New South Wales","2009-04-01",85,24.45,58.4
"119","New South Wales","2009-04-02",61,25.7,84.4
"120","New South Wales","2009-04-03",98,27.075,10.4
"121","New South Wales","2009-04-04",67,22.9,15.6
"122","New South Wales","2009-04-05",48,24.375,22.6
"123","New South Wales","2009-04-06",59,23.825,9.4
"124","New South Wales","2009-04-07",54,23.675,38
"125","New South Wales","2009-04-08",44,22.925,15.6
"126","New South Wales","2009-04-09",43,23.15,9.2
"127","New South Wales","2009-04-10",48,22.675,14.4
"128","New South Wales","2009-04-11",46,21.775,8.4
"129","New South Wales","2009-04-12",48,22.875,6.2
"130","New South Wales","2009-04-13",48,21.825,19.2
"131","New South Wales","2009-04-14",50,22.9,49
"132","New South Wales","2009-04-15",65,24.2,7
"133","New South Wales","2009-04-16",54,22.6,0.2
"134","New South Wales","2009-04-17",63,23.525,5.8
"135","New South Wales","2009-04-18",69,21.05,25.8
"136","New South Wales","2009-04-19",80,20.95,41
"137","New South Wales","2009-04-20",80,21.725,27.6
"138","New South Wales","2009-04-21",72,21.1,59
"139","New South Wales","2009-04-22",72,22.275,19.6
"140","New South Wales","2009-04-23",63,22.65,29.8
"141","New South Wales","2009-04-24",57,22.475,1.2
"142","New South Wales","2009-04-25",91,24.475,20
"143","New South Wales","2009-04-26",81,22.45,21
"144","New South Wales","2009-04-27",76,20.2,3.2
"145","New South Wales","2009-04-28",59,20.3,4.8
"146","New South Wales","2009-04-29",59,20.2,0
"147","New South Wales","2009-04-30",54,20.475,5
"148","New South Wales","2009-05-01",44,19.45,3.2
"149","New South Wales","2009-05-02",61,18.775,11.4
"150","New South Wales","2009-05-03",44,18.825,34.8
"151","New South Wales","2009-05-04",43,19.15,4
"152","New South Wales","2009-05-05",57,18.675,13.4
"153","New South Wales","2009-05-06",46,19.125,20.2
"154","New South Wales","2009-05-07",43,19.225,2.6
"155","New South Wales","2009-05-08",69,19.15,3.4
"156","New South Wales","2009-05-09",56,18.75,29.6
"157","New South Wales","2009-05-10",65,18.55,4.4
"158","New South Wales","2009-05-11",65,18.2,19.2
"159","New South Wales","2009-05-12",56,17.925,0.4
"160","New South Wales","2009-05-13",39,17.975,2.8
"161","New South Wales","2009-05-14",56,18.5,0.2
"162","New South Wales","2009-05-15",89,19.7,0
"163","New South Wales","2009-05-16",91,19.875,1.8
"164","New South Wales","2009-05-17",48,19.575,3.6
"165","New South Wales","2009-05-18",43,18.975,0.6
"166","New South Wales","2009-05-19",57,17.875,7.6
"167","New South Wales","2009-05-20",61,19.225,60.8
"168","New South Wales","2009-05-21",78,19.45,46.4
"169","New South Wales","2009-05-22",87,19.025,76
"170","New South Wales","2009-05-23",69,19.725,32.6
"171","New South Wales","2009-05-24",59,19.9,5
"172","New South Wales","2009-05-25",63,19.175,2.8
"173","New South Wales","2009-05-26",52,18.075,4.2
"174","New South Wales","2009-05-27",39,17.875,3.6
"175","New South Wales","2009-05-28",54,18.05,14.2
"176","New South Wales","2009-05-29",65,17.1,50.4
"177","New South Wales","2009-05-30",69,17.575,30.2
"178","New South Wales","2009-05-31",65,17.575,23
"179","New South Wales","2009-06-01",52,17.1,10
"180","New South Wales","2009-06-02",39,16.95,25.8
"181","New South Wales","2009-06-03",44,17.575,57.4
"182","New South Wales","2009-06-04",41,17.25,8.2
"183","New South Wales","2009-06-05",41,17.5,1
"184","New South Wales","2009-06-06",54,17.025,0.2
"185","New South Wales","2009-06-07",50,18.9,43
"186","New South Wales","2009-06-08",63,19.375,14.4
"187","New South Wales","2009-06-09",78,18.325,4.2
"188","New South Wales","2009-06-10",80,19.1,6.2
"189","New South Wales","2009-06-11",48,19.275,1
"190","New South Wales","2009-06-12",63,17.975,0.2
"191","New South Wales","2009-06-13",56,17.625,0.4
"192","New South Wales","2009-06-14",54,16.45,1.4
"193","New South Wales","2009-06-15",43,17.05,2.2
"194","New South Wales","2009-06-16",70,17.725,11.8
"195","New South Wales","2009-06-17",52,16.8,44.2
"196","New South Wales","2009-06-18",54,15.925,16.4
"197","New South Wales","2009-06-19",56,16.65,55.8
"198","New South Wales","2009-06-20",61,16.725,70
"199","New South Wales","2009-06-21",54,17.45,21
"200","New South Wales","2009-06-22",56,17.425,71.2
"201","New South Wales","2009-06-23",37,16.375,13.6
"202","New South Wales","2009-06-24",57,16.475,6
"203","New South Wales","2009-06-25",48,18.35,0.6
"204","New South Wales","2009-06-26",46,19.05,4.4
"205","New South Wales","2009-06-27",63,19.075,38.8
"206","New South Wales","2009-06-28",81,18.95,16.6
"207","New South Wales","2009-06-29",78,17.225,10.6
"208","New South Wales","2009-06-30",72,17.35,2
"209","New South Wales","2009-07-01",63,18.95,8.4
"210","New South Wales","2009-07-02",70,17.65,5
"211","New South Wales","2009-07-03",70,18.575,7.8
"212","New South Wales","2009-07-04",83,16.55,14.2
"213","New South Wales","2009-07-05",72,16.775,5.6
"214","New South Wales","2009-07-06",57,17.475,1.4
"215","New South Wales","2009-07-07",56,16.85,4.8
"216","New South Wales","2009-07-08",54,15.1,24.4
"217","New South Wales","2009-07-09",50,15.9,15.2
"218","New South Wales","2009-07-10",80,16.825,18.8
"219","New South Wales","2009-07-11",81,17.875,34.4
"220","New South Wales","2009-07-12",91,15.725,8.8
"221","New South Wales","2009-07-13",44,17.975,1
"222","New South Wales","2009-07-14",56,16.825,6.8
"223","New South Wales","2009-07-15",46,18.925,5.8
"224","New South Wales","2009-07-16",57,15.675,5
"225","New South Wales","2009-07-17",57,17.125,20.6
"226","New South Wales","2009-07-18",65,16.15,1.4
"227","New South Wales","2009-07-19",50,16.325,0.6
"228","New South Wales","2009-07-20",46,16.625,1
"229","New South Wales","2009-07-21",46,17.3,6
"230","New South Wales","2009-07-22",72,21.075,0
"231","New South Wales","2009-07-23",72,18.575,9.8
"232","New South Wales","2009-07-24",56,16.8,12.6
"233","New South Wales","2009-07-25",46,14.65,8.2
"234","New South Wales","2009-07-26",41,15.125,0.8
"235","New South Wales","2009-07-27",54,16.35,9.4
"236","New South Wales","2009-07-28",61,16.575,4.2
"237","New South Wales","2009-07-29",43,16.025,2.4
"238","New South Wales","2009-07-30",44,16.15,0.2
"239","New South Wales","2009-07-31",59,16.325,5.2
"240","New South Wales","2009-08-01",43,16.3,0.2
"241","New South Wales","2009-08-02",37,16.25,1.4
"242","New South Wales","2009-08-03",57,16.175,0.8
"243","New South Wales","2009-08-04",39,16.125,0.2
"244","New South Wales","2009-08-05",44,16.55,5.4
"245","New South Wales","2009-08-06",54,17.025,0.4
"246","New South Wales","2009-08-07",85,18.2,2
"247","New South Wales","2009-08-08",63,17.75,4.2
"248","New South Wales","2009-08-09",63,18.2,7.6
"249","New South Wales","2009-08-10",44,16.8,3
"250","New South Wales","2009-08-11",63,19.525,0.4
"251","New South Wales","2009-08-12",43,19.225,5.8
"252","New South Wales","2009-08-13",46,17.125,0.2
"253","New South Wales","2009-08-14",39,17.6,1.2
"254","New South Wales","2009-08-15",46,17.725,0.6
"255","New South Wales","2009-08-16",70,21.375,1.6
"256","New South Wales","2009-08-17",59,22.8,3.2
"257","New South Wales","2009-08-18",54,17.1,0
"258","New South Wales","2009-08-19",85,15.45,7
"259","New South Wales","2009-08-20",57,17.825,1.8
"260","New South Wales","2009-08-21",70,21.625,1
"261","New South Wales","2009-08-22",57,20.525,10
"262","New South Wales","2009-08-23",44,26.175,3.8
"263","New South Wales","2009-08-24",85,28.025,1.2
"264","New South Wales","2009-08-25",107,24.25,2
"265","New South Wales","2009-08-26",120,18.7,3.6
"266","New South Wales","2009-08-27",50,19.55,0.4
"267","New South Wales","2009-08-28",35,20.075,0.2
"268","New South Wales","2009-08-29",83,26.275,4.2
"269","New South Wales","2009-08-30",76,22.325,13.4
"270","New South Wales","2009-08-31",59,17.425,2.6
"271","New South Wales","2009-09-01",46,16.975,3
"272","New South Wales","2009-09-02",44,17.875,8.6
"273","New South Wales","2009-09-03",52,19.15,1
"274","New South Wales","2009-09-04",50,20.45,8.2
"275","New South Wales","2009-09-05",67,18.7,12.8
"276","New South Wales","2009-09-06",54,17.6,0.4
"277","New South Wales","2009-09-07",85,19.375,1
"278","New South Wales","2009-09-08",57,17.875,6
"279","New South Wales","2009-09-09",61,18.025,1.2
"280","New South Wales","2009-09-12",74,23.25,38.6
"281","New South Wales","2009-09-13",81,25.925,0
"282","New South Wales","2009-09-14",67,21.7,0.6
"283","New South Wales","2009-09-15",54,22.925,0.2
"284","New South Wales","2009-09-16",56,24.55,1.2
"285","New South Wales","2009-09-17",65,25.575,1.2
"286","New South Wales","2009-09-18",57,23.15,10.2
"287","New South Wales","2009-09-19",39,22.075,0
"288","New South Wales","2009-09-20",78,23.35,0.4
"289","New South Wales","2009-09-21",48,21.175,2
"290","New South Wales","2009-09-22",83,26.675,8.4
"291","New South Wales","2009-09-23",102,22.125,28.8
"292","New South Wales","2009-09-24",63,20.625,1.4
"293","New South Wales","2009-09-25",81,21.1,3.4
"294","New South Wales","2009-09-26",107,25.225,6
"295","New South Wales","2009-09-27",107,17.75,5.6
"296","New South Wales","2009-09-28",70,18.2,3.6
"297","New South Wales","2009-09-29",46,18.4,0.2
"298","New South Wales","2009-09-30",54,20.575,0
"299","New South Wales","2009-10-01",61,27.1,0.2
"300","New South Wales","2009-10-02",72,26.4,0
"301","New South Wales","2009-10-03",72,23.975,23.4
"302","New South Wales","2009-10-04",52,19.025,33.8
"303","New South Wales","2009-10-05",56,18.35,14.8
"304","New South Wales","2009-10-06",52,19.6,13.6
"305","New South Wales","2009-10-07",69,22.05,5
"306","New South Wales","2009-10-08",87,18.075,3
"307","New South Wales","2009-10-09",69,18.45,17.2
"308","New South Wales","2009-10-10",59,18.325,20
"309","New South Wales","2009-10-11",54,20.25,17.4
"310","New South Wales","2009-10-12",76,24.2,7
"311","New South Wales","2009-10-13",87,26.8,2.6
"312","New South Wales","2009-10-14",91,23.2,7
"313","New South Wales","2009-10-15",72,20.275,1.8
"314","New South Wales","2009-10-16",67,20.9,6.8
"315","New South Wales","2009-10-17",44,20.05,0
"316","New South Wales","2009-10-18",46,20.075,17.6
"317","New South Wales","2009-10-19",48,21.475,10
"318","New South Wales","2009-10-20",52,25.4,0
"319","New South Wales","2009-10-21",57,28.275,0.2
"320","New South Wales","2009-10-22",56,29.35,0
"321","New South Wales","2009-10-23",57,28.45,0
"322","New South Wales","2009-10-24",57,27.725,2.4
"323","New South Wales","2009-10-25",76,26.425,0
"324","New South Wales","2009-10-26",69,19.625,70.6
"325","New South Wales","2009-10-27",54,23.45,25.6
"326","New South Wales","2009-10-28",44,23.275,10.4
"327","New South Wales","2009-10-29",44,24.9,1
"328","New South Wales","2009-10-30",43,25.2,0.2
"329","New South Wales","2009-10-31",46,27.625,0.4
"330","New South Wales","2009-11-01",50,29.025,0.2
"331","New South Wales","2009-11-02",52,31.325,0.4
"332","New South Wales","2009-11-03",85,32.05,0
"333","New South Wales","2009-11-04",44,29.175,2.6
"334","New South Wales","2009-11-05",48,26.75,2.2
"335","New South Wales","2009-11-06",61,24.55,96
"336","New South Wales","2009-11-07",43,24.1,4.8
"337","New South Wales","2009-11-08",43,25.825,4
"338","New South Wales","2009-11-09",59,27.4,50.6
"339","New South Wales","2009-11-10",46,27.675,9.8
"340","New South Wales","2009-11-11",39,29.65,0
"341","New South Wales","2009-11-12",78,33.175,0
"342","New South Wales","2009-11-13",65,31.625,1.6
"343","New South Wales","2009-11-14",46,29.25,17
"344","New South Wales","2009-11-15",54,33.1,0
"345","New South Wales","2009-11-16",91,35.125,0
"346","New South Wales","2009-11-17",74,34.5,2.6
"347","New South Wales","2009-11-18",56,33.4,0.2
"348","New South Wales","2009-11-19",61,36.45,2.8
"349","New South Wales","2009-11-20",94,38.7,0
"350","New South Wales","2009-11-21",85,35.075,10.6
"351","New South Wales","2009-11-22",78,34.475,25.8
"352","New South Wales","2009-11-23",80,32.65,1.6
"353","New South Wales","2009-11-24",50,29.125,7
"354","New South Wales","2009-11-25",54,29.6,6.2
"355","New South Wales","2009-11-26",78,29.15,1.4
"356","New South Wales","2009-11-27",61,31.25,19.2
"357","New South Wales","2009-11-28",69,32.65,0.2
"358","New South Wales","2009-11-29",69,31.225,9.8
"359","New South Wales","2009-11-30",74,24.375,4.8
"360","New South Wales","2009-12-01",72,24.8,17
"361","New South Wales","2009-12-02",69,24.075,10.2
"362","New South Wales","2009-12-03",54,26.575,3.6
"363","New South Wales","2009-12-04",61,28.325,0
"364","New South Wales","2009-12-05",69,31.925,0
"365","New South Wales","2009-12-06",52,30.1,1.4
"366","New South Wales","2009-12-07",65,32.725,0
"367","New South Wales","2009-12-08",81,34.95,0
"368","New South Wales","2009-12-09",54,32.35,1.6
"369","New South Wales","2009-12-10",69,28.175,0
"370","New South Wales","2009-12-11",59,28.3,2.4
"371","New South Wales","2009-12-12",56,25.05,0
"372","New South Wales","2009-12-13",46,28.075,0
"373","New South Wales","2009-12-14",52,29.975,1.4
"374","New South Wales","2009-12-15",56,31.6,0.6
"375","New South Wales","2009-12-16",65,34.175,0.2
"376","New South Wales","2009-12-17",107,35.3,5.6
"377","New South Wales","2009-12-18",74,30,8.4
"378","New South Wales","2009-12-19",52,27.325,8.6
"379","New South Wales","2009-12-20",50,27.65,1
"380","New South Wales","2009-12-21",80,29.875,0
"381","New South Wales","2009-12-22",61,31.35,7.8
"382","New South Wales","2009-12-23",57,32.175,15.8
"383","New South Wales","2009-12-24",80,34.225,1
"384","New South Wales","2009-12-25",65,29.35,54.2
"385","New South Wales","2009-12-26",61,28.15,14
"386","New South Wales","2009-12-27",57,26.575,19
"387","New South Wales","2009-12-28",52,28.45,32.6
"388","New South Wales","2009-12-29",46,28.575,34.2
"389","New South Wales","2009-12-30",57,29.425,34.2
"390","New South Wales","2009-12-31",54,28.375,38.8
"391","New South Wales","2010-01-01",52,27.075,5
"392","New South Wales","2010-01-02",83,27.425,15.4
"393","New South Wales","2010-01-03",57,27.55,33.2
"394","New South Wales","2010-01-04",48,27.475,6.6
"395","New South Wales","2010-01-05",96,28.375,0.2
"396","New South Wales","2010-01-06",54,28.175,8.4
"397","New South Wales","2010-01-07",76,29.725,0.2
"398","New South Wales","2010-01-08",44,30.05,13.6
"399","New South Wales","2010-01-09",50,31.65,0.2
"400","New South Wales","2010-01-10",50,33.8,0
"401","New South Wales","2010-01-11",54,35.2,0.4
"402","New South Wales","2010-01-12",76,36.2,1
"403","New South Wales","2010-01-13",74,31.875,0.4
"404","New South Wales","2010-01-14",52,27.65,18
"405","New South Wales","2010-01-15",52,30.925,1
"406","New South Wales","2010-01-16",63,32.35,1.2
"407","New South Wales","2010-01-17",72,28.05,6.4
"408","New South Wales","2010-01-18",67,24.65,13.6
"409","New South Wales","2010-01-19",59,23.975,0
"410","New South Wales","2010-01-20",57,26.75,8
"411","New South Wales","2010-01-21",56,32.05,0
"412","New South Wales","2010-01-22",69,33.975,0.2
"413","New South Wales","2010-01-23",87,36,0.4
"414","New South Wales","2010-01-24",46,30.95,3.8
"415","New South Wales","2010-01-25",52,33.25,0.2
"416","New South Wales","2010-01-26",54,34.35,6.2
"417","New South Wales","2010-01-27",52,35.75,1.6
"418","New South Wales","2010-01-28",48,30.425,3
"419","New South Wales","2010-01-29",57,31.375,5.2
"420","New South Wales","2010-01-30",54,31.025,2.8
"421","New South Wales","2010-01-31",54,29.825,10.8
"422","New South Wales","2010-02-01",67,30.9,9.8
"423","New South Wales","2010-02-02",61,27.825,8.6
"424","New South Wales","2010-02-03",85,28.65,67
"425","New South Wales","2010-02-04",74,28.225,36
"426","New South Wales","2010-02-05",69,27.375,52.2
"427","New South Wales","2010-02-06",69,26.175,92.2
"428","New South Wales","2010-02-07",72,27.5,80.6
"429","New South Wales","2010-02-08",43,29.175,15.4
"430","New South Wales","2010-02-13",41,29.75,37.4
"431","New South Wales","2010-02-14",59,29.45,44
"432","New South Wales","2010-02-15",63,27.525,22.2
"433","New South Wales","2010-02-16",69,26.7,9
"434","New South Wales","2010-02-19",52,26.375,1.2
"435","New South Wales","2010-02-20",57,26.875,2
"436","New South Wales","2010-02-21",59,29.025,5.2
"437","New South Wales","2010-02-22",50,31.25,3.6
"438","New South Wales","2010-02-23",67,27.55,0.2
"439","New South Wales","2010-02-24",41,24,13.4
"440","New South Wales","2010-02-25",44,27.025,2.2
"441","New South Wales","2010-02-28",65,27.275,2
"442","New South Wales","2010-03-03",54,24.425,45.2
"443","New South Wales","2010-03-06",61,25.8,39.8
"444","New South Wales","2010-03-07",69,26.025,27.6
"445","New South Wales","2010-03-08",56,27.925,110.8
"446","New South Wales","2010-03-09",54,26.2,6.2
"447","New South Wales","2010-03-12",65,24.225,13.2
"448","New South Wales","2010-03-13",52,23.2,24
"449","New South Wales","2010-03-14",48,23.15,16.2
"450","New South Wales","2010-03-15",43,24.775,1.4
"451","New South Wales","2010-03-16",48,25.175,2
"452","New South Wales","2010-03-17",46,25.05,2
"453","New South Wales","2010-03-18",48,26.15,0.8
"454","New South Wales","2010-03-19",52,26.4,0.8
"455","New South Wales","2010-03-20",41,27.9,0
"456","New South Wales","2010-03-21",81,29.15,0.2
"457","New South Wales","2010-03-22",65,27,0.4
"458","New South Wales","2010-03-23",43,27.25,0.4
"459","New South Wales","2010-03-24",39,26.825,0
"460","New South Wales","2010-03-25",52,26.3,4.6
"461","New South Wales","2010-03-26",41,28.25,0.4
"462","New South Wales","2010-03-27",57,27.575,0.2
"463","New South Wales","2010-03-28",50,28.525,0.4
"464","New South Wales","2010-03-29",52,27.75,11
"465","New South Wales","2010-03-30",56,24.7,10.2
"466","New South Wales","2010-03-31",65,23.4,97.2
"467","New South Wales","2010-04-01",59,23.225,18.2
"468","New South Wales","2010-04-02",54,22.175,1.8
"469","New South Wales","2010-04-03",52,23.275,0.4
"470","New South Wales","2010-04-04",48,23.875,13.4
"471","New South Wales","2010-04-05",43,23.4,7.8
"472","New South Wales","2010-04-06",48,23.15,12.4
"473","New South Wales","2010-04-07",44,23.625,10.4
"474","New South Wales","2010-04-08",61,24.625,9.4
"475","New South Wales","2010-04-09",52,22.425,6
"476","New South Wales","2010-04-10",56,25.45,34.4
"477","New South Wales","2010-04-11",70,25.225,7
"478","New South Wales","2010-04-12",50,23.45,0.2
"479","New South Wales","2010-04-13",50,22.725,0
"480","New South Wales","2010-04-14",35,21.7,1.4
"481","New South Wales","2010-04-15",35,22.125,0.4
"482","New South Wales","2010-04-16",50,23.15,2.4
"483","New South Wales","2010-04-17",48,22.725,10.8
"484","New South Wales","2010-04-18",44,23.275,6.2
"485","New South Wales","2010-04-19",43,23.45,8.6
"486","New South Wales","2010-04-20",37,22.975,8.8
"487","New South Wales","2010-04-21",35,24.7,11
"488","New South Wales","2010-04-22",59,24.725,0.4
"489","New South Wales","2010-04-23",35,25.1,0.4
"490","New South Wales","2010-04-24",48,25.325,10.2
"491","New South Wales","2010-04-25",59,22.975,21.4
"492","New South Wales","2010-04-26",48,20.9,10.4
"493","New South Wales","2010-04-27",39,21.4,32
"494","New South Wales","2010-04-28",54,21.975,1.6
"495","New South Wales","2010-04-29",56,21.45,0.8
"496","New South Wales","2010-04-30",48,21.15,0.4
"497","New South Wales","2010-05-01",35,21.075,16.2
"498","New South Wales","2010-05-02",48,21.7,0.2
"499","New South Wales","2010-05-03",41,22.05,0.4
"500","New South Wales","2010-05-04",76,22.825,8.6
"501","New South Wales","2010-05-05",76,21.225,7.4
"502","New South Wales","2010-05-06",61,20.4,3.8
"503","New South Wales","2010-05-07",83,20.675,3.4
"504","New South Wales","2010-05-08",72,20.725,21
"505","New South Wales","2010-05-09",69,20,1.2
"506","New South Wales","2010-05-10",80,21.075,3
"507","New South Wales","2010-05-11",65,21.625,4.4
"508","New South Wales","2010-05-12",52,20.225,1
"509","New South Wales","2010-05-13",54,20.175,0.2
"510","New South Wales","2010-05-14",56,19.1,6.4
"511","New South Wales","2010-05-15",56,18.475,15.4
"512","New South Wales","2010-05-16",57,19.175,6
"513","New South Wales","2010-05-17",50,18.425,12.8
"514","New South Wales","2010-05-18",54,19.275,23.4
"515","New South Wales","2010-05-19",57,19.35,56
"516","New South Wales","2010-05-20",48,18.875,6.8
"517","New South Wales","2010-05-21",67,19.625,0
"518","New South Wales","2010-05-22",59,18.95,52.6
"519","New South Wales","2010-05-23",56,20.225,43.4
"520","New South Wales","2010-05-24",50,18.375,22.8
"521","New South Wales","2010-05-25",50,20.1,13.4
"522","New South Wales","2010-05-26",78,20,26.2
"523","New South Wales","2010-05-27",74,19.875,43.4
"524","New South Wales","2010-05-28",57,19.175,12.8
"525","New South Wales","2010-05-29",57,18.55,28
"526","New South Wales","2010-05-30",59,17.825,17.2
"527","New South Wales","2010-05-31",80,20.25,12.4
"528","New South Wales","2010-06-01",46,20.625,11.2
"529","New South Wales","2010-06-02",43,19.5,4
"530","New South Wales","2010-06-03",70,18.8,59.4
"531","New South Wales","2010-06-04",70,18.7,56
"532","New South Wales","2010-06-05",76,20.5,29.8
"533","New South Wales","2010-06-06",70,20.2,10
"534","New South Wales","2010-06-07",65,18.425,12.4
"535","New South Wales","2010-06-08",54,16.2,8.8
"536","New South Wales","2010-06-09",72,17.425,1.2
"537","New South Wales","2010-06-10",83,17.675,3.8
"538","New South Wales","2010-06-11",76,17.8,4.4
"539","New South Wales","2010-06-12",50,17.15,0.2
"540","New South Wales","2010-06-13",50,17.2,22.6
"541","New South Wales","2010-06-14",33,16.5,4
"542","New South Wales","2010-06-15",39,16.3,3.8
"543","New South Wales","2010-06-16",52,16.85,0.8
"544","New South Wales","2010-06-17",94,17.15,11.6
"545","New South Wales","2010-06-18",43,17.75,7.2
"546","New South Wales","2010-06-19",61,18.275,2
"547","New South Wales","2010-06-20",39,18.5,0.2
"548","New South Wales","2010-06-21",48,17.05,17
